"Legislaturperiode";"Partei";"Erststimmen";"Erststimmen Prozent";"Zweitstimmen";"Zweitstimmen Prozent";"Direktmandate";"Überhangmandate";"Listenmandate"
17;"ZENTRUM";369;0.0;6087;0.0;0;0;0
17;"GRÜNE";3977125;0.0;4643272;0.0;0;0;0
16;"GRÜNE";2538913;0.0;3838326;0.0;0;0;0
16;"Die Tierschutzpartei";7341;0.0;110603;0.0;0;0;0
17;"ödp";105653;0.0;132249;0.0;0;0;0
17;"BP";32324;0.0;48311;0.0;0;0;0
16;"PBC";57027;0.0;108605;0.0;0;0;0
17;"Die Tierschutzpartei";16887;0.0;230872;0.0;0;0;0
17;"Freie Union";6121;0.0;0;0.0;0;0;0
17;"FWD";0;0.0;11243;0.0;0;0;0
17;"DIE VIOLETTEN";5794;0.0;31957;0.0;0;0;0
17;"DKP";929;0.0;1894;0.0;0;0;0
17;"PIRATEN";46770;0.0;847870;0.0;0;0;0
16;"MLPD";16480;0.0;45238;0.0;0;0;0
16;"SPD";18129100;0.0;16194665;0.0;0;0;0
17;"FDP";4076496;0.0;6316080;0.0;0;0;0
17;"PSG";0;0.0;2957;0.0;0;0;0
17;"RRP";37946;0.0;100605;0.0;0;0;0
17;"DIE LINKE";4791124;0.0;5155933;0.0;0;0;0
16;"CM";1011;0.0;0;0.0;0;0;0
17;"FAMILIE";17848;0.0;120718;0.0;0;0;0
17;"BüSo";34894;0.0;38706;0.0;0;0;0
17;"Volksabstimmung";2550;0.0;23015;0.0;0;0;0
16;"FDP";2208531;0.0;4648144;0.0;0;0;0
17;"NPD";768442;0.0;635525;0.0;0;0;0
17;"REP";30061;0.0;193396;0.0;0;0;0
17;"CDU";13856674;0.0;11828277;0.0;0;0;0
17;"DVU";0;0.0;45752;0.0;0;0;0
16;"PSG";0;0.0;15605;0.0;0;0;0
17;"CSU";3191000;0.0;2830238;0.0;0;0;0
16;"ZENTRUM";1297;0.0;4010;0.0;0;0;0
17;"RENTNER";0;0.0;56399;0.0;0;0;0
16;"BP";16047;0.0;35543;0.0;0;0;0
17;"MLPD";17512;0.0;29261;0.0;0;0;0
16;"REP";38678;0.0;266101;0.0;0;0;0
16;"NPD";857777;0.0;748568;0.0;0;0;0
17;"CM";0;0.0;6826;0.0;0;0;0
16;"CDU";15390950;0.0;13136740;0.0;0;0;0
17;"ADM";396;0.0;2889;0.0;0;0;0
17;"PBC";12052;0.0;40370;0.0;0;0;0
16;"BüSo";40984;0.0;35649;0.0;0;0;0
16;"CSU";3889990;0.0;3494309;0.0;0;0;0
16;"DIE LINKE";3764168;0.0;4118194;0.0;0;0;0
17;"SPD";12079758;0.0;9990488;0.0;0;0;0
16;"FAMILIE";76064;0.0;191842;0.0;0;0;0
