"Legislaturperiode";"Bundesland";"Gültige Erststimmen";"Gültige Zweitstimmen";"Wähler";"Wahlberechtigte"
17;"Thüringen";1229844;1231769;1247764;1913559
17;"Sachsen-Anhalt";1200777;1202672;1226721;2028572
16;"Thüringen";1447858;1450777;1477829;1957755
16;"Sachsen-Anhalt";1447706;1450579;1481671;2088108
17;"Nordrhein-Westfalen";9366765;9389412;9493850;13288291
17;"Sachsen";2249678;2252359;2285953;3518195
16;"Nordrhein-Westfalen";10234995;10246031;10385230;13257047
17;"Baden-Württemberg";5424349;5442089;5530242;7633818
16;"Sachsen";2646047;2648064;2695532;3561357
16;"Baden-Württemberg";5808734;5822447;5923917;7529193
17;"Niedersachsen";4422903;4432611;4482349;6112110
16;"Niedersachsen";4760047;4767648;4828902;6083041
17;"Mecklenburg-Vorpommern";865709;867267;882176;1400298
17;"Rheinland-Pfalz";2180560;2193129;2233548;3103878
16;"Mecklenburg-Vorpommern";990181;991719;1010887;1418790
16;"Rheinland-Pfalz";2369862;2377339;2427981;3084171
17;"Brandenburg";1381965;1387552;1425302;2128715
16;"Brandenburg";1564970;1567614;1594983;2128352
17;"Schleswig-Holstein";1604890;1609502;1644384;2234720
17;"Bayern";6625797;6652036;6720532;9382583
16;"Schleswig-Holstein";1712614;1715109;1739113;2198777
17;"Hessen";3172039;3177571;3244641;4398919
16;"Bayern";7066569;7095306;7181842;9222560
16;"Hessen";3356786;3359916;3437326;4366988
17;"Saarland";582528;584867;596194;808554
16;"Saarland";632749;633518;650089;818478
17;"Berlin";1718759;1723405;1752839;2471665
17;"Bremen";337779;338611;343027;487978
16;"Bremen";361450;361921;367282;486475
16;"Berlin";1851268;1856636;1887397;2438902
17;"Hamburg";883658;886338;896053;1256634
16;"Hamburg";942226;943364;954153;1230717
