"Listennummer";"Bundesland";"Partei"
1;"Bayern";"SPD"
2;"Nordrhein-Westfalen";"DIE LINKE"
3;"Rheinland-Pfalz";"NPD"
4;"Sachsen-Anhalt";"FDP"
5;"Rheinland-Pfalz";"FDP"
6;"Niedersachsen";"GRÜNE"
7;"Nordrhein-Westfalen";"NPD"
8;"Bayern";"VIOLETTEN"
9;"Hessen";"FDP"
10;"Mecklenburg-Vorpommern";"FDP"
11;"Rheinland-Pfalz";"PIRATEN"
12;"Bayern";"ödp"
13;"Bayern";"CSU"
14;"Hamburg";"DIE LINKE"
15;"Nordrhein-Westfalen";"SPD"
16;"Nordrhein-Westfalen";"FDP"
17;"Bayern";"BüSo"
18;"Hessen";"DVU"
19;"Bremen";"DIE LINKE"
20;"Saarland";"CDU"
21;"Saarland";"FDP"
22;"Hessen";"SPD"
23;"Saarland";"NPD"
24;"Baden-Württemberg";"GRÜNE"
25;"Schleswig-Holstein";"SPD"
26;"Hessen";"BüSo"
27;"Saarland";"GRÜNE"
28;"Baden-Württemberg";"DIE LINKE"
29;"Brandenburg";"NPD"
30;"Thüringen";"SPD"
31;"Nordrhein-Westfalen";"MLPD"
32;"Mecklenburg-Vorpommern";"NPD"
33;"Baden-Württemberg";"SPD"
34;"Schleswig-Holstein";"FDP"
35;"Brandenburg";"BüSo"
36;"Baden-Württemberg";"MLPD"
37;"Saarland";"PIRATEN"
38;"Saarland";"MLPD"
39;"Bayern";"BP"
40;"Bremen";"NPD"
41;"Hessen";"CDU"
42;"Hessen";"GRÜNE"
43;"Berlin";"Tierschutz"
44;"Hamburg";"MLPD"
45;"Bayern";"GRÜNE"
46;"Bremen";"PBC"
47;"Hessen";"PIRATEN"
48;"Brandenburg";"GRÜNE"
49;"Rheinland-Pfalz";"SPD"
50;"Hamburg";"RENTNER"
51;"Rheinland-Pfalz";"ödp"
52;"Sachsen";"MLPD"
53;"Bayern";"DIE LINKE"
54;"Bayern";"REP"
55;"Niedersachsen";"SPD"
56;"Bremen";"DVU"
57;"Hamburg";"FDP"
58;"Saarland";"SPD"
59;"Sachsen-Anhalt";"PIRATEN"
60;"Baden-Württemberg";"CDU"
61;"Hamburg";"DVU"
62;"Rheinland-Pfalz";"MLPD"
63;"Mecklenburg-Vorpommern";"DIE LINKE"
64;"Hamburg";"NPD"
65;"Baden-Württemberg";"Volksabst."
66;"Bayern";"MLPD"
67;"Bayern";"FDP"
68;"Baden-Württemberg";"PIRATEN"
69;"Berlin";"PIRATEN"
70;"Berlin";"DKP"
71;"Hessen";"Tierschutz"
72;"Bremen";"GRÜNE"
73;"Rheinland-Pfalz";"DIE LINKE"
74;"Nordrhein-Westfalen";"GRÜNE"
75;"Rheinland-Pfalz";"CDU"
76;"Mecklenburg-Vorpommern";"MLPD"
77;"Bremen";"SPD"
78;"Niedersachsen";"DIE LINKE"
79;"Sachsen-Anhalt";"CDU"
80;"Niedersachsen";"NPD"
81;"Brandenburg";"FDP"
82;"Sachsen";"NPD"
83;"Sachsen";"CDU"
84;"Baden-Württemberg";"REP"
85;"Saarland";"DIE LINKE"
86;"Berlin";"SPD"
87;"Niedersachsen";"FDP"
88;"Baden-Württemberg";"FDP"
89;"Bayern";"RRP"
90;"Baden-Württemberg";"VIOLETTEN"
91;"Rheinland-Pfalz";"PBC"
92;"Niedersachsen";"CDU"
93;"Niedersachsen";"DVU"
94;"Nordrhein-Westfalen";"CDU"
95;"Thüringen";"PIRATEN"
96;"Mecklenburg-Vorpommern";"GRÜNE"
97;"Sachsen";"BüSo"
98;"Schleswig-Holstein";"RENTNER"
99;"Hessen";"REP"
100;"Mecklenburg-Vorpommern";"SPD"
101;"Nordrhein-Westfalen";"FAMILIE"
102;"Schleswig-Holstein";"CDU"
103;"Baden-Württemberg";"ödp"
104;"Niedersachsen";"Tierschutz"
105;"Sachsen";"GRÜNE"
106;"Bayern";"FAMILIE"
107;"Nordrhein-Westfalen";"DVU"
108;"Niedersachsen";"ödp"
109;"Berlin";"FDP"
110;"Berlin";"DIE LINKE"
111;"Hessen";"MLPD"
112;"Berlin";"CDU"
113;"Niedersachsen";"RRP"
114;"Hessen";"DIE LINKE"
115;"Berlin";"BüSo"
116;"Berlin";"ödp"
117;"Bremen";"MLPD"
118;"Berlin";"DVU"
119;"Nordrhein-Westfalen";"RENTNER"
120;"Niedersachsen";"MLPD"
121;"Hamburg";"SPD"
122;"Thüringen";"ödp"
123;"Sachsen-Anhalt";"DIE LINKE"
124;"Berlin";"VIOLETTEN"
125;"Nordrhein-Westfalen";"Volksabst."
126;"Rheinland-Pfalz";"FAMILIE"
127;"Nordrhein-Westfalen";"PIRATEN"
128;"Saarland";"FAMILIE"
129;"Sachsen-Anhalt";"GRÜNE"
130;"Brandenburg";"SPD"
131;"Brandenburg";"FWD"
132;"Bremen";"PIRATEN"
133;"Baden-Württemberg";"Tierschutz"
134;"Sachsen";"FDP"
135;"Sachsen-Anhalt";"NPD"
136;"Berlin";"NPD"
137;"Bremen";"RRP"
138;"Nordrhein-Westfalen";"BüSo"
139;"Sachsen";"REP"
140;"Thüringen";"MLPD"
141;"Bremen";"REP"
142;"Baden-Württemberg";"ADM"
143;"Bayern";"Tierschutz"
144;"Brandenburg";"DIE LINKE"
145;"Saarland";"RRP"
146;"Rheinland-Pfalz";"REP"
147;"Bayern";"NPD"
148;"Hamburg";"GRÜNE"
149;"Brandenburg";"CDU"
150;"Baden-Württemberg";"BüSo"
151;"Nordrhein-Westfalen";"REP"
152;"Hamburg";"CDU"
153;"Thüringen";"CDU"
154;"Thüringen";"FDP"
155;"Bayern";"PBC"
156;"Berlin";"MLPD"
157;"Sachsen-Anhalt";"MLPD"
158;"Schleswig-Holstein";"GRÜNE"
159;"Mecklenburg-Vorpommern";"CDU"
160;"Nordrhein-Westfalen";"PSG"
161;"Bayern";"PIRATEN"
162;"Bayern";"CM"
163;"Hamburg";"ödp"
164;"Hessen";"NPD"
165;"Nordrhein-Westfalen";"ödp"
166;"Thüringen";"GRÜNE"
167;"Baden-Württemberg";"NPD"
168;"Rheinland-Pfalz";"GRÜNE"
169;"Baden-Württemberg";"PBC"
170;"Sachsen-Anhalt";"DVU"
171;"Sachsen";"SPD"
172;"Schleswig-Holstein";"NPD"
173;"Mecklenburg-Vorpommern";"PIRATEN"
174;"Brandenburg";"PIRATEN"
175;"Schleswig-Holstein";"MLPD"
176;"Berlin";"REP"
177;"Nordrhein-Westfalen";"ZENTRUM"
178;"Schleswig-Holstein";"DIE LINKE"
179;"Brandenburg";"MLPD"
180;"Nordrhein-Westfalen";"RRP"
181;"Niedersachsen";"PIRATEN"
182;"Thüringen";"NPD"
183;"Thüringen";"DIE LINKE"
184;"Sachsen";"DIE LINKE"
185;"Hamburg";"PIRATEN"
186;"Schleswig-Holstein";"PIRATEN"
187;"Schleswig-Holstein";"DVU"
188;"Berlin";"GRÜNE"
189;"Sachsen-Anhalt";"SPD"
190;"Bremen";"FDP"
191;"Brandenburg";"DVU"
192;"Rheinland-Pfalz";"DVU"
193;"Bremen";"CDU"
194;"Brandenburg";"REP"
195;"Bayern";"DVU"
196;"Berlin";"PSG"
197;"Thüringen";"REP"
198;"Baden-Württemberg";"DVU"
199;"Nordrhein-Westfalen";"Tierschutz"
200;"Mecklenburg-Vorpommern";"REP"
