"Legislaturperiode";"Bundesland";"Partei";"Erststimmen";"Erststimmen Prozent";"Zweitstimmen";"Zweitstimmen Prozent";"Direktmandate";"Überhangmandate";"Listenmandate"
17;"Nordrhein-Westfalen";"GRÜNE";728745;0.0;945831;0.0;0;0;0
17;"Brandenburg";"CDU";342692;0.0;327454;0.0;0;0;0
16;"Hamburg";"SPD";447335;0.0;365546;0.0;0;0;0
17;"Thüringen";"NPD";43588;0.0;39603;0.0;0;0;0
17;"Bayern";"FAMILIE";3921;0.0;44421;0.0;0;0;0
16;"Saarland";"FDP";22028;0.0;47188;0.0;0;0;0
16;"Rheinland-Pfalz";"PBC";5853;0.0;9026;0.0;0;0;0
17;"Hamburg";"FDP";69968;0.0;117143;0.0;0;0;0
17;"Brandenburg";"DVU";0;0.0;13042;0.0;0;0;0
16;"Niedersachsen";"NPD";62313;0.0;59744;0.0;0;0;0
16;"Baden-Württemberg";"FAMILIE";15410;0.0;45188;0.0;0;0;0
16;"Berlin";"NPD";33508;0.0;29070;0.0;0;0;0
17;"Hamburg";"PIRATEN";0;0.0;23168;0.0;0;0;0
17;"Baden-Württemberg";"DIE VIOLETTEN";1023;0.0;12593;0.0;0;0;0
17;"Hessen";"FDP";305043;0.0;527432;0.0;0;0;0
17;"Sachsen-Anhalt";"MLPD";3039;0.0;3181;0.0;0;0;0
17;"Nordrhein-Westfalen";"DIE VIOLETTEN";446;0.0;0;0.0;0;0;0
16;"Nordrhein-Westfalen";"CDU";4161570;0.0;3524351;0.0;0;0;0
16;"Schleswig-Holstein";"MLPD";0;0.0;1131;0.0;0;0;0
16;"Baden-Württemberg";"CDU";2720955;0.0;2283085;0.0;0;0;0
16;"Baden-Württemberg";"GRÜNE";428574;0.0;623091;0.0;0;0;0
16;"Saarland";"GRÜNE";18976;0.0;37489;0.0;0;0;0
17;"Berlin";"MLPD";901;0.0;1111;0.0;0;0;0
17;"Bayern";"SPD";1331177;0.0;1120018;0.0;0;0;0
17;"Niedersachsen";"NPD";60811;0.0;53909;0.0;0;0;0
17;"Sachsen-Anhalt";"SPD";237189;0.0;202850;0.0;0;0;0
17;"Rheinland-Pfalz";"REP";3631;0.0;18208;0.0;0;0;0
17;"Sachsen";"GRÜNE";136047;0.0;151283;0.0;0;0;0
17;"Berlin";"ödp";0;0.0;3220;0.0;0;0;0
16;"Niedersachsen";"PBC";5384;0.0;11107;0.0;0;0;0
17;"Mecklenburg-Vorpommern";"SPD";161414;0.0;143607;0.0;0;0;0
