"Landesliste";"Kandidat";"Position"
1;2;50
2;3;30
3;4;10
4;6;2
5;7;31
6;8;43
6;9;11
7;11;15
8;12;13
9;14;38
10;15;1
11;16;3
12;17;33
13;18;4
14;20;1
15;21;29
16;24;43
17;26;14
18;28;3
19;29;1
20;30;1
21;31;7
22;32;13
23;33;2
24;34;1
25;36;22
26;37;8
27;38;21
27;39;5
28;40;13
28;41;9
28;42;7
29;43;10
29;44;8
30;45;15
30;47;9
31;48;7
32;49;5
33;50;1
33;52;10
33;54;42
33;55;10
34;57;4
35;58;3
36;59;5
37;60;31
37;61;21
37;62;7
38;63;1
39;64;12
40;68;2
41;69;2
41;70;24
42;71;17
43;72;4
44;73;36
44;74;2
45;75;15
46;76;1
47;77;3
47;78;8
48;79;7
48;80;12
48;82;3
49;83;6
50;84;7
50;86;8
50;88;1
51;89;17
52;91;3
52;92;7
53;93;30
53;94;18
54;95;25
55;96;72
55;97;11
56;99;1
57;100;3
57;101;7
58;102;6
58;103;4
58;104;7
58;105;29
59;106;2
60;107;30
61;108;5
61;110;3
62;111;3
63;113;1
64;114;35
64;115;3
65;116;37
65;117;39
65;118;8
65;119;8
66;120;4
67;121;53
68;122;3
69;123;3
70;124;4
71;127;9
71;128;21
71;131;55
71;132;8
72;135;1
73;136;5
74;137;16
74;138;2
75;140;39
76;141;31
76;143;33
76;144;28
76;145;66
76;146;4
77;147;1
78;148;42
78;149;54
78;150;36
78;151;32
78;152;17
78;153;1
78;156;5
78;157;6
79;158;8
80;159;2
81;161;3
82;162;1
82;163;6
83;164;7
84;165;8
85;166;7
85;167;4
86;168;26
86;169;32
86;170;5
87;171;28
88;173;28
89;174;9
90;175;1
91;176;29
91;178;17
91;179;17
91;180;63
91;182;52
91;185;13
91;186;27
91;187;1
91;189;19
91;190;6
92;192;9
92;193;16
92;194;10
92;195;7
92;198;49
93;199;2
94;201;27
94;202;4
94;203;35
94;205;27
94;206;9
94;207;53
95;209;8
96;212;8
97;213;6
98;214;39
98;215;2
98;216;48
98;219;3
98;220;16
98;221;29
98;222;14
98;223;2
99;225;19
99;226;10
99;227;1
99;229;5
100;230;23
100;231;10
100;232;11
100;237;26
100;238;4
100;239;5
101;241;18
101;244;3
101;247;3
101;248;15
101;250;3
101;251;6
101;254;17
101;255;9
101;256;41
101;257;2
102;259;2
102;263;9
102;264;4
103;268;8
103;269;34
103;271;11
104;273;8
104;274;28
104;275;1
104;276;24
104;279;10
104;282;7
104;285;25
104;286;2
105;288;6
106;289;6
106;290;11
106;291;6
106;294;9
107;295;18
107;296;6
107;297;14
107;299;6
107;300;4
107;302;29
107;304;3
108;305;1
108;306;5
108;307;18
108;308;10
108;310;10
108;313;10
108;314;47
108;315;2
109;316;6
109;317;4
109;318;11
110;319;13
110;320;9
111;321;45
111;323;16
111;324;4
112;326;10
113;328;11
113;329;38
113;331;45
113;332;22
113;333;18
113;334;5
113;335;8
113;336;10
113;337;10
113;340;1
113;341;25
113;342;2
113;344;31
113;345;23
113;347;10
113;348;35
113;349;9
113;350;4
113;352;41
113;353;6
114;354;16
114;355;5
114;356;12
114;357;20
114;358;32
114;359;3
115;360;18
115;361;6
115;362;2
116;364;3
117;366;4
118;368;12
118;370;29
118;371;22
118;372;55
118;375;5
118;376;8
118;377;12
118;378;2
118;379;2
118;380;13
118;381;2
118;382;27
118;383;3
118;384;53
118;386;8
118;387;2
118;389;13
118;390;2
119;391;4
119;393;41
119;394;24
119;395;28
119;397;20
119;398;22
119;399;3
120;400;7
121;401;20
121;402;2
121;403;43
121;404;38
121;405;3
121;406;5
122;407;3
122;408;22
122;409;28
122;410;1
122;412;3
122;413;22
122;414;5
123;418;4
124;419;14
124;420;12
124;421;4
124;422;1
125;423;12
125;425;19
125;426;17
125;428;6
126;429;3
127;432;7
127;433;1
127;435;12
127;436;17
127;437;6
127;438;15
127;440;4
128;441;10
128;442;11
128;443;1
129;444;6
129;446;7
129;447;17
129;448;18
129;449;60
129;451;3
130;452;18
130;453;39
130;455;3
131;456;4
132;457;30
132;458;15
132;459;2
133;461;54
133;462;8
133;463;4
134;464;4
134;465;14
134;466;41
134;468;34
134;469;1
134;470;5
134;472;33
134;475;57
134;476;37
134;477;15
134;478;23
134;479;14
134;482;18
134;484;22
134;485;2
134;486;3
134;487;4
135;488;60
135;489;20
135;491;13
135;496;10
135;499;6
135;500;7
136;501;3
136;502;27
136;503;6
136;504;56
136;507;23
136;509;3
136;510;13
136;511;4
136;513;26
136;514;5
136;516;10
137;517;12
137;519;5
137;520;9
137;521;13
137;523;14
137;524;4
137;525;54
137;526;5
137;527;44
137;528;22
137;529;5
137;530;9
137;531;32
137;536;11
137;539;6
137;540;13
137;541;6
137;542;6
137;543;4
137;544;1
137;545;22
137;546;27
137;547;19
137;548;3
138;549;15
138;551;8
138;552;11
138;553;11
138;554;14
138;555;2
139;556;16
139;557;1
139;558;26
139;559;8
139;560;1
139;561;26
139;562;3
139;563;5
139;564;5
139;565;5
139;568;16
139;569;16
139;570;12
139;571;30
139;573;47
139;574;22
139;575;5
139;576;15
139;577;40
139;579;3
139;581;10
139;582;23
139;583;3
140;585;19
140;586;53
140;588;39
140;589;15
140;590;9
140;592;9
140;593;32
140;594;1
141;595;4
141;596;4
141;597;14
141;598;1
141;599;7
141;600;2
142;601;10
142;602;38
142;604;30
142;605;7
142;606;6
142;607;15
142;608;17
142;609;1
142;610;7
142;612;10
143;613;30
143;614;2
143;615;30
143;618;34
143;619;45
143;620;30
143;622;1
144;623;6
144;624;27
144;625;1
145;626;3
146;627;9
146;628;34
146;629;14
146;630;2
146;632;23
146;633;2
146;634;5
147;635;1
147;636;4
147;639;16
147;641;28
147;642;3
147;643;46
147;646;1
147;647;4
147;648;19
147;649;4
147;650;6
147;651;8
148;652;32
148;653;6
148;654;4
148;655;8
148;657;6
148;658;8
148;659;11
148;660;5
148;661;7
148;662;25
148;663;30
148;666;5
148;667;17
148;668;1
148;669;24
148;670;11
148;671;3
149;672;19
149;673;3
149;674;7
149;675;4
149;676;6
150;679;6
150;681;4
150;684;8
150;685;27
150;686;2
150;687;3
150;688;18
150;689;41
150;690;21
150;691;8
150;692;1
150;693;4
150;696;24
150;697;16
150;698;3
150;699;24
150;701;1
151;702;7
151;703;18
151;704;1
151;705;29
151;706;2
151;707;6
151;709;10
151;710;4
151;711;7
152;712;1
153;713;6
153;714;10
153;715;9
153;716;8
153;717;59
153;718;34
153;719;31
153;720;17
153;721;35
153;725;6
153;726;6
153;727;2
153;728;1
153;729;27
153;730;29
153;731;34
153;732;55
153;733;17
153;735;2
153;736;21
153;737;59
153;738;1
153;739;14
153;740;11
154;741;17
154;743;4
155;744;18
155;747;7
155;748;45
155;749;18
155;750;1
155;751;13
155;752;24
155;754;37
155;755;5
155;756;11
155;757;7
155;758;33
155;760;9
156;761;28
156;762;6
157;763;9
158;764;7
158;765;10
159;766;2
159;768;13
159;769;12
159;770;16
159;772;14
159;773;9
159;774;18
159;776;9
160;777;16
160;778;41
160;780;15
160;782;7
160;783;19
160;787;42
160;788;41
160;790;30
160;791;11
160;792;7
160;793;5
160;794;8
160;796;58
160;797;54
160;798;37
160;799;14
160;800;12
160;801;4
160;802;5
160;803;40
160;804;2
160;805;19
160;806;3
160;807;24
160;808;9
160;809;1
160;810;7
160;811;1
160;812;5
160;813;5
160;814;16
160;816;1
160;819;1
161;820;2
161;821;13
161;822;9
161;823;16
161;824;8
161;825;24
161;826;3
162;827;4
162;828;7
162;829;13
162;830;20
162;832;11
162;833;9
162;834;2
162;835;10
162;838;4
162;839;2
162;841;5
162;842;2
162;844;51
162;845;16
162;846;1
162;848;5
162;849;12
162;850;8
163;851;4
163;852;27
163;853;8
163;854;3
163;856;48
163;857;3
163;858;18
163;859;1
163;860;3
164;861;7
165;862;6
165;863;12
165;864;20
165;865;17
165;866;9
165;867;24
165;868;13
166;869;13
166;870;4
166;871;59
166;872;3
166;874;37
166;875;2
166;876;6
166;878;3
166;879;8
166;880;5
166;882;26
166;883;10
166;885;1
166;887;1
167;888;9
167;889;1
167;890;1
167;895;20
167;896;5
167;897;7
168;898;7
168;899;3
168;900;21
168;901;15
168;902;5
168;904;10
168;907;10
169;908;6
169;910;13
169;911;8
169;913;15
169;914;18
169;915;2
170;916;9
170;917;14
170;918;14
170;920;3
170;921;9
170;922;1
170;923;5
170;924;25
170;926;48
170;927;10
170;928;8
170;930;13
170;931;32
170;932;62
170;933;3
170;934;32
170;935;7
170;936;19
170;937;1
170;938;14
170;939;23
170;940;5
170;941;21
170;942;16
170;943;13
170;944;28
170;946;14
170;948;65
170;949;47
170;950;9
170;951;42
170;952;9
170;953;7
170;954;5
170;955;2
170;956;2
170;957;6
170;958;21
170;959;5
170;960;8
170;962;7
170;963;22
170;965;7
170;968;17
170;969;41
170;970;1
170;971;1
170;972;20
170;973;5
170;974;6
170;975;2
171;976;4
171;977;2
171;978;21
171;979;15
171;980;11
171;981;37
171;982;37
171;983;23
171;984;42
171;985;5
172;986;9
172;987;6
173;988;3
173;990;1
173;991;5
174;993;10
174;994;2
174;995;2
174;996;3
175;998;17
175;999;1
175;1000;32
175;1001;2
175;1002;2
175;1004;3
176;1005;3
176;1006;8
176;1007;2
176;1010;2
176;1012;1
177;1015;6
177;1016;2
177;1017;21
177;1018;9
177;1019;2
177;1020;9
177;1021;46
177;1022;34
177;1023;33
177;1024;7
177;1025;17
177;1026;10
177;1027;10
177;1029;3
178;1032;19
178;1033;8
178;1034;8
178;1035;26
178;1036;17
178;1037;16
178;1038;2
178;1040;48
178;1042;5
178;1043;1
178;1044;23
178;1046;3
179;1047;8
179;1048;19
179;1049;1
179;1050;2
179;1051;37
179;1053;2
179;1054;44
179;1057;11
179;1058;18
179;1059;12
179;1061;2
179;1062;3
179;1063;14
179;1064;15
179;1065;28
179;1067;1
179;1069;46
179;1070;11
179;1072;28
179;1073;4
179;1074;3
179;1075;5
179;1076;5
179;1077;19
179;1078;17
179;1079;2
180;1080;47
180;1082;22
180;1083;20
180;1084;3
181;1086;15
181;1088;3
181;1089;10
181;1090;31
181;1092;20
181;1094;5
181;1095;10
182;1096;6
182;1097;41
182;1099;15
182;1100;3
182;1103;10
182;1104;26
182;1105;15
182;1106;8
182;1108;1
182;1109;1
182;1110;3
183;1111;47
183;1112;18
183;1113;6
183;1114;5
183;1115;2
183;1116;45
183;1117;28
183;1118;15
183;1120;34
183;1123;61
183;1124;9
183;1125;41
183;1126;8
183;1127;35
183;1128;31
183;1130;13
183;1131;34
183;1133;6
183;1135;3
183;1136;13
183;1138;20
