Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Per Lennart";"Aae";"NPD";1940;1;M
;"Sebastian Tobias";"Abele";"SPD";1987;2;M
;"Roya";"Abolhassanzadeh Talischi";"DIE LINKE";1959;3;W
;"Klaus";"Acker";"NPD";1958;4;M
;"Reinmund";"Acker";;1949;5;M
;"Jens";"Ackermann";"FDP";1975;6;M
"Dr.";"Lothar Matthias";"Ackermann";"FDP";1953;7;M
;"Michael";"Adam";"SPD";1984;8;M
;"Beate";"Adler";"GRÜNE";1960;9;W
;"Michael Harald";"Adomeit";;1957;10;M
;"Manfred August";"Aengenvoort";"NPD";1944;11;M
;"Werner";"Ahlers";"DIE VIOLETTEN";1939;12;M
;"Jonas";"Ahlgrimm";"DIE LINKE";1986;13;M
;"Kornelia";"Ahr-Wiehe";"FDP";1964;14;W
;"Christian";"Ahrendt";"FDP";1963;15;M
;"Dirk";"Ahrens";"PIRATEN";1977;16;M
;"Alois";"Aigner";"ödp";1962;17;M
;"Ilse";"Aigner";"CSU";1964;18;W
;"Pasquale";"Aita";;1974;19;M
;"Jan";"Aken van";"DIE LINKE";1961;20;M
"Dr.";"Lale";"Akgün";"SPD";1953;21;W
;"Stefan";"Albanesi";"DIE LINKE";1972;22;M
;"Sönke";"Albertsen";;1960;23;M
;"Frank";"Albrecht";"FDP";1967;24;M
;"Klaus";"Albrecht";"DIE LINKE";1948;25;M
;"Richard Hermann";"Albrecht";"BüSo";1963;26;M
;"Wilfried";"Aldag";"NPD";1952;27;M
;"Michael";"Allenstein";"DVU";1963;28;M
;"Agnes";"Alpers";"DIE LINKE";1961;29;W
;"Peter";"Altmaier";"CDU";1958;30;M
;"Fernande";"Altmayer";"FDP";1961;31;W
;"Gregor";"Amann";"SPD";1962;32;M
;"Gerhard";"Ambrosius";"NPD";1940;33;M
;"Kerstin";"Andreae";"GRÜNE";1968;34;W
;"Michael";"Andrejewski";"NPD";1959;35;M
;"Volker";"Andresen";"SPD";1945;36;M
;"Andrea";"Andromidas";"BüSo";1949;37;W
;"Christian";"Angne";"FDP";1945;38;M
;"Winfried";"Anslinger";"GRÜNE";1951;39;M
;"Daniel Richard";"Ansorge";"ödp";1988;40;M
;"Kornelia";"Anspach-Papa";"CDU";1961;41;W
;"Marta";"Aparicio de Eckelmann";"DIE LINKE";1952;42;W
;"Rainer";"Apel";"BüSo";1948;43;M
;"Detlef";"Appel";"NPD";1955;44;M
;"Johannes Peter";"Appelt";"BüSo";1943;45;M
;"Ron";"Appelt";"NPD";1988;46;M
;"Corinna";"Appenrodt";"SPD";1974;47;W
;"Feryal";"Araz";"MLPD";1985;48;W
;"Dirk";"Arendt";"NPD";1976;49;M
;"Dörthe";"Armstroff";"NPD";1958;50;W
;"Holger-Michael";"Arndt";"GRÜNE";1971;51;M
;"Ingrid";"Arndt-Brauer";"SPD";1961;52;W
;"Karin";"Arnold";"RRP";1947;53;W
;"Ludger";"Arnold";"SPD";1954;54;M
;"Rainer";"Arnold";"SPD";1950;55;M
;"Ludwig";"Artmeyer";"GRÜNE";1965;56;M
;"Christine";"Aschenberg-Dugnus";"FDP";1959;57;W
;"Helma";"Aßmann";"BüSo";1939;58;W
;"Ferit";"Atan";"MLPD";1955;59;M
;"Artur Friedrich";"Auernhammer";"CSU";1963;60;M
;"Elisabeth";"August";"DIE LINKE";1950;61;W
;"Andreas";"Augustin";"PIRATEN";1979;62;M
;"Reiner";"Aulenbacher";"MLPD";1957;63;M
;"Martin";"Aulila";"BP";1954;64;M
;"Peter";"Aumer";"CSU";1976;65;M
;"Hüseyin Kenan";"Aydin";"DIE LINKE";1962;66;M
;"Armin";"Azima";"BüSo";1977;67;M
;"Klaus Hermann";"Baade";"NPD";1936;68;M
;"Safet";"Babic";"NPD";1981;69;M
;"Thomas";"Bach";"CDU";1961;70;M
;"Iris";"Bachmann";"GRÜNE";1947;71;W
;"Sabrina";"Bacholke";"Die Tierschutzpartei";1981;72;W
;"Veronika";"Backes";"CDU";1956;73;W
;"Jürgen";"Bader";"MLPD";1960;74;M
;"Lisa";"Badum";"GRÜNE";1983;75;W
;"Dietrich Karl Ernst";"Baecker";"PBC";1937;76;M
;"Manfred";"Bähr";"FDP";1959;77;M
;"Knut";"Bänsch";"PIRATEN";1961;78;M
;"Dorothee";"Bär";"CSU";1978;79;W
;"Karl";"Bär";"GRÜNE";1985;80;M
;"Peter";"Baer";;1934;81;M
;"Annalena";"Baerbock";"GRÜNE";1980;82;W
;"Sabine";"Bätzing";"SPD";1975;83;W
;"Peter";"Bäuerle";"MLPD";1951;84;M
;"Werner";"Bäumler";"DIE LINKE";1952;85;M
;"Daniel";"Bahr";"FDP";1976;86;M
;"Gabriele";"Bailey";"GRÜNE";1958;87;W
;"Dieter";"Balck";"RENTNER";1941;88;M
;"Torsten";"Balg";"ödp";1971;89;M
"Dr. jur.";"Michael";"Balke";;1954;90;M
;"Peter Manfred";"Balnat";"NPD";1956;91;M
;"Regina Hildegard Käthe";"Balzer";"MLPD";1949;92;W
;"Gero Heinrich";"Bangerter";"FDP";1983;93;M
;"Stefan";"Bannert";"DIE LINKE";1966;94;M
;"Ulrich Gustav";"Bannert";"REP";1950;95;M
;"Robin";"Baranski";"SPD";1977;96;W
;"Heinz-Joachim";"Barchmann";"SPD";1950;97;M
;"Thomas";"Bareiß";"CDU";1975;98;M
;"Rudolf Walter";"Bargmann";"DVU";1976;99;M
;"Doris";"Barnett";"SPD";1953;100;W
;"Daniel Lutz";"Barta";"FDP";1954;101;M
"Dr.";"Hans Peter";"Bartels";"SPD";1961;102;M
;"Christian";"Bartelt";"FDP";1976;103;M
;"Cornelia";"Barth";"DIE LINKE";1958;104;W
;"Edith";"Barth";"SPD";1935;105;W
;"Steven";"Barth";"PIRATEN";1988;106;M
;"Volker";"Barth";"CDU";1962;107;M
;"Klaus";"Barthel";"SPD";1955;108;M
;"Norbert";"Barthle";"CDU";1952;109;M
;"Uwe";"Bartholomäus";"DVU";1972;110;M
;"Anna";"Bartholomé";"MLPD";1949;111;W
;"Sören";"Bartol";"SPD";1974;112;M
"Dr.";"Dietmar";"Bartsch";"DIE LINKE";1958;113;M
;"Bärbel";"Bas";"SPD";1968;114;W
;"Lothar";"Baseler";"NPD";1935;115;M
;"Michael";"Bathon";"CDU";1961;116;M
;"Annegret";"Bauch";"CDU";1958;117;W
;"Matthias";"Bauch";"BP";1979;118;M
;"Anneliese";"Bauer";"Volksabstimmung";1924;119;W
;"Emil";"Bauer";"MLPD";1953;120;M
;"Erich";"Bauer";"FDP";1954;121;M
;"Sebastian-Michael";"Bauer";"PIRATEN";1987;122;M
;"Andreas";"Baum";"PIRATEN";1978;123;M
;"Erika";"Baum";"DKP";1925;124;W
;"Helmut Günter";"Baumann";"CDU";1947;125;M
"Dr.";"Albert";"Baumgärtner";"NPD";1955;126;M
;"Alfons";"Baumgartner";"BP";1944;127;M
;"Roman";"Baumgartner";"CDU";1982;128;M
;"Jens";"Baur";"NPD";1979;129;M
;"Yusuf";"Bayrak";;1963;130;M
"Dr.";"Arthur";"Bechert";"CSU";1964;131;M
;"Birgit";"Beciri";"Die Tierschutzpartei";1962;132;W
;"Ernst-Reinhard";"Beck";"CDU";1945;133;M
;"Jürgen";"Beck";;1955;134;M
;"Marieluise";"Beck";"GRÜNE";1952;135;W
;"Stefanie";"Beck";"DIE LINKE";1970;136;W
;"Tobias";"Beck";"FDP";1985;137;M
;"Volker";"Beck";"GRÜNE";1960;138;M
;"Claudia";"Beck geb. Krauß";"GRÜNE";1973;139;W
;"Alexander";"Becker";"CDU";1982;140;M
;"Bernd";"Becker";"SPD";1958;141;M
;"Burkhard";"Becker";"NPD";1954;142;M
;"Dirk";"Becker";"SPD";1966;143;M
;"Kurt";"Becker";"SPD";1953;144;M
;"Christa Lydia";"Becker-Lettow";"SPD";1959;145;W
;"Bert";"Beckmann";"MLPD";1958;146;M
;"Uwe Karl";"Beckmeyer";"SPD";1949;147;M
;"Jochen Heiner";"Beekhuis";"SPD";1977;148;M
;"Maximilian";"Beer";"CSU";1966;149;M
;"Kirsten";"Beetz";"CDU";1961;150;W
;"Peter";"Befeldt";"SPD";1955;151;M
