"Wahlkreisnummer";"Name";"Wahlberechtigte";"Bundesland"
1;"name";225.216;"bundesland"
2;"name";187.047;"bundesland"
3;"name";177.604;"bundesland"
4;"name";198.910;"bundesland"
5;"name";200.347;"bundesland"
6;"name";175.132;"bundesland"
7;"name";232.899;"bundesland"
8;"name";240.010;"bundesland"
9;"name";179.987;"bundesland"
10;"name";237.144;"bundesland"
11;"name";180.424;"bundesland"
12;"name";216.789;"bundesland"
13;"name";183.166;"bundesland"
14;"name";198.527;"bundesland"
15;"name";199.517;"bundesland"
16;"name";204.944;"bundesland"
17;"name";211.429;"bundesland"
18;"name";185.926;"bundesland"
19;"name";252.967;"bundesland"
20;"name";173.956;"bundesland"
21;"name";186.357;"bundesland"
22;"name";207.016;"bundesland"
23;"name";217.147;"bundesland"
24;"name";219.191;"bundesland"
25;"name";189.804;"bundesland"
26;"name";231.076;"bundesland"
27;"name";190.546;"bundesland"
28;"name";215.591;"bundesland"
29;"name";226.440;"bundesland"
30;"name";189.058;"bundesland"
31;"name";192.956;"bundesland"
32;"name";226.979;"bundesland"
33;"name";212.449;"bundesland"
34;"name";193.411;"bundesland"
35;"name";192.320;"bundesland"
36;"name";168.573;"bundesland"
37;"name";191.159;"bundesland"
38;"name";177.098;"bundesland"
39;"name";197.143;"bundesland"
40;"name";192.473;"bundesland"
41;"name";198.376;"bundesland"
42;"name";180.088;"bundesland"
43;"name";190.623;"bundesland"
44;"name";232.214;"bundesland"
45;"name";217.316;"bundesland"
46;"name";216.957;"bundesland"
47;"name";197.394;"bundesland"
48;"name";239.450;"bundesland"
49;"name";222.804;"bundesland"
50;"name";213.208;"bundesland"
51;"name";189.975;"bundesland"
52;"name";187.831;"bundesland"
53;"name";214.330;"bundesland"
54;"name";224.468;"bundesland"
55;"name";256.131;"bundesland"
56;"name";231.847;"bundesland"
57;"name";171.705;"bundesland"
58;"name";169.284;"bundesland"
59;"name";249.983;"bundesland"
60;"name";255.165;"bundesland"
61;"name";199.083;"bundesland"
62;"name";239.221;"bundesland"
63;"name";246.651;"bundesland"
64;"name";208.525;"bundesland"
65;"name";196.389;"bundesland"
66;"name";192.709;"bundesland"
67;"name";182.677;"bundesland"
68;"name";239.481;"bundesland"
69;"name";236.946;"bundesland"
70;"name";254.287;"bundesland"
71;"name";197.289;"bundesland"
72;"name";248.457;"bundesland"
73;"name";223.268;"bundesland"
74;"name";214.081;"bundesland"
75;"name";232.086;"bundesland"
76;"name";197.252;"bundesland"
77;"name";232.250;"bundesland"
78;"name";183.112;"bundesland"
79;"name";184.436;"bundesland"
80;"name";217.335;"bundesland"
81;"name";195.857;"bundesland"
82;"name";232.759;"bundesland"
83;"name";197.444;"bundesland"
84;"name";222.647;"bundesland"
85;"name";200.391;"bundesland"
86;"name";203.416;"bundesland"
87;"name";204.766;"bundesland"
88;"name";176.885;"bundesland"
89;"name";228.546;"bundesland"
90;"name";187.605;"bundesland"
91;"name";199.907;"bundesland"
92;"name";245.417;"bundesland"
93;"name";245.382;"bundesland"
94;"name";186.798;"bundesland"
95;"name";224.430;"bundesland"
96;"name";197.023;"bundesland"
97;"name";219.218;"bundesland"
98;"name";231.404;"bundesland"
99;"name";211.859;"bundesland"
100;"name";211.963;"bundesland"
101;"name";215.582;"bundesland"
102;"name";213.303;"bundesland"
103;"name";216.614;"bundesland"
104;"name";229.927;"bundesland"
105;"name";204.450;"bundesland"
106;"name";168.402;"bundesland"
107;"name";218.215;"bundesland"
108;"name";195.910;"bundesland"
109;"name";213.950;"bundesland"
110;"name";194.294;"bundesland"
111;"name";204.291;"bundesland"
112;"name";227.805;"bundesland"
113;"name";226.029;"bundesland"
114;"name";207.451;"bundesland"
115;"name";182.878;"bundesland"
116;"name";185.802;"bundesland"
117;"name";159.541;"bundesland"
118;"name";212.283;"bundesland"
119;"name";194.638;"bundesland"
120;"name";171.457;"bundesland"
121;"name";197.729;"bundesland"
122;"name";174.767;"bundesland"
123;"name";194.999;"bundesland"
124;"name";187.486;"bundesland"
125;"name";200.304;"bundesland"
126;"name";208.655;"bundesland"
127;"name";196.659;"bundesland"
128;"name";189.353;"bundesland"
129;"name";192.966;"bundesland"
130;"name";210.934;"bundesland"
131;"name";211.287;"bundesland"
132;"name";232.944;"bundesland"
133;"name";247.085;"bundesland"
134;"name";233.781;"bundesland"
135;"name";209.155;"bundesland"
136;"name";174.517;"bundesland"
137;"name";216.917;"bundesland"
138;"name";243.442;"bundesland"
139;"name";217.768;"bundesland"
140;"name";183.435;"bundesland"
141;"name";214.358;"bundesland"
142;"name";188.777;"bundesland"
143;"name";214.213;"bundesland"
144;"name";208.840;"bundesland"
145;"name";202.933;"bundesland"
146;"name";239.907;"bundesland"
147;"name";232.781;"bundesland"
148;"name";209.440;"bundesland"
149;"name";218.411;"bundesland"
150;"name";214.196;"bundesland"
151;"name";210.993;"bundesland"
152;"name";178.447;"bundesland"
153;"name";202.455;"bundesland"
154;"name";212.804;"bundesland"
155;"name";231.084;"bundesland"
156;"name";216.629;"bundesland"
157;"name";237.786;"bundesland"
158;"name";238.958;"bundesland"
159;"name";215.674;"bundesland"
160;"name";230.676;"bundesland"
161;"name";231.247;"bundesland"
162;"name";223.149;"bundesland"
163;"name";205.652;"bundesland"
164;"name";202.743;"bundesland"
165;"name";247.624;"bundesland"
166;"name";229.535;"bundesland"
167;"name";213.732;"bundesland"
168;"name";192.360;"bundesland"
169;"name";222.636;"bundesland"
170;"name";184.337;"bundesland"
171;"name";194.732;"bundesland"
172;"name";185.071;"bundesland"
173;"name";212.611;"bundesland"
174;"name";228.413;"bundesland"
175;"name";239.786;"bundesland"
176;"name";182.246;"bundesland"
177;"name";246.697;"bundesland"
178;"name";221.226;"bundesland"
179;"name";187.479;"bundesland"
180;"name";241.923;"bundesland"
181;"name";195.505;"bundesland"
182;"name";190.058;"bundesland"
