"Legislaturperiode";"Wahlkreis";"Gültige Erststimmen";"Gültige Zweitstimmen";"Wähler";"Wahlberechtigte"
16;1;169153;169231;171827;220967
16;2;141498;141720;143778;184580
16;3;136916;136906;139014;177200
16;4;156654;156779;158841;197355
16;5;148790;148992;151040;194234
16;6;134422;134882;136982;174075
16;7;182963;183322;185609;227185
16;8;186453;186525;188632;233522
16;9;139035;139123;140965;177834
16;10;186948;187899;190357;232711
16;11;129782;129730;132068;179114
16;12;153569;153789;156558;219787
16;13;132146;132410;134742;185092
16;14;137006;137590;139568;193869
16;15;138300;138197;141356;203689
16;16;142517;142649;145628;208610
16;17;151458;151772;154726;215271
16;18;135185;135312;138309;192472
16;19;177164;177366;179752;245210
16;20;134820;135037;136372;170950
16;21;145629;146017;147354;181988
16;22;166771;166993;168352;203063
16;23;161186;161343;163239;214063
16;24;156656;156608;159084;215443
16;25;141810;142226;144499;187031
16;26;175313;175431;177726;227506
16;27;143633;143982;146571;190965
16;28;163987;164365;166206;210068
16;29;172438;172408;175320;224736
16;30;146709;146911;148796;189974
16;31;148593;149087;150641;188816
16;32;177735;177790;179716;222778
16;33;157931;158329;160307;206345
16;34;150370;150578;152034;192368
16;35;150711;150942;152524;190409
16;36;130394;130646;132230;168165
16;37;152236;152605;154160;185646
16;38;137019;137298;138955;175383
16;39;152761;152984;154657;194638
16;40;152090;152307;153955;191774
16;41;155516;155704;157540;199276
16;42;138511;138818;140366;179372
16;43;145959;146313;147965;188507
16;44;185343;185691;187725;231063
16;45;170217;170305;172223;217953
16;46;172195;172462;174673;216115
16;47;156138;156408;158761;201339
16;48;193226;193538;195863;238612
16;49;179261;179645;182239;223707
16;50;170286;170348;173204;217909
16;51;145182;145397;147350;187823
16;52;145214;145432;148023;188485
16;53;170997;171219;173976;219886
16;54;178272;178479;180697;226392
16;55;193748;194081;196547;252856
16;56;167702;167840;170735;233619
16;57;123947;124019;126283;176284
16;58;122077;122429;124502;174854
16;59;181217;181615;184656;240691
16;60;186219;186341;189602;248485
16;61;143867;144067;147006;203338
16;62;178071;178302;180704;227461
16;63;180772;181290;184664;241291
16;64;156069;156259;159026;212095
16;65;146428;146750;149081;203223
16;66;146303;146542;149459;200630
16;67;132396;132712;135206;188647
16;68;170563;171030;174931;246402
16;69;170194;170981;174563;245549
16;70;175243;175560;179260;253665
16;71;145881;146006;148711;204383
16;72;175345;175674;179616;259087
16;73;159354;159504;162607;226697
16;74;151911;151952;155763;221879
16;75;166819;167160;171014;241799
16;76;139361;139785;142190;192321
16;77;172121;172442;174821;224621
16;78;143753;144374;147047;185854
16;79;137024;137441;140504;184180
16;80;177166;177886;180247;215568
16;81;156094;156760;158865;196910
16;82;181913;182371;185593;234161
16;83;140599;141067;144224;194781
16;84;161804;162162;164838;215324
16;85;149804;150008;152302;193339
16;86;145064;145400;147668;200926
16;87;146565;146940;149098;200917
16;88;135883;136223;137879;174998
16;89;173134;173749;176643;227154
16;90;139824;140510;143248;185273
16;91;151408;151730;154115;198643
16;92;188492;189059;191575;240830
16;93;186989;187447;190431;243187
16;94;136456;136684;137164;184010
16;95;172987;173461;173952;215119
16;96;141725;141930;142475;192045
16;97;170421;170766;172806;212584
16;98;177692;177963;179685;226476
16;99;169441;169754;171115;209093
16;100;162452;162498;165042;212632
16;101;175174;175235;177035;213615
16;102;159553;159786;161257;213112
16;103;163849;164076;166375;220640
16;104;176523;176793;179124;232219
16;105;163072;163491;165177;205589
16;106;133760;134016;135236;170221
16;107;168233;168485;170004;215651
16;108;144886;145115;146767;193401
16;109;162923;163017;164493;212741
16;110;139324;139499;141494;195069
16;111;158929;159039;161147;202982
16;112;174794;175004;177272;225763
16;113;170965;171451;173899;223341
16;114;162482;162566;164457;204858
16;115;140727;140858;142804;182775
16;116;143801;143653;145909;188411
16;117;114170;113934;116258;163423
16;118;164290;164274;166618;213983
16;119;155463;155474;157290;197688
16;120;124434;124726;126509;174161
16;121;161632;161921;163555;200447
