"Legislaturperiode";"Kandidat";"Partei";"Wahlkreis";"Stimmen";"Stimmenprozent"
17;3474;"SPD";1;52139;32.75
17;263;"CDU";1;61793;38.81
17;2291;"FDP";1;15292;9.6
17;2167;"GRÜNE";1;16399;10.3
17;1325;"DIE LINKE";1;11918;7.49
17;3033;"NPD";1;1302;0.82
17;1309;"ZENTRUM";1;369;0.23
17;669;"SPD";2;36642;27.91
17;1807;"CDU";2;56751;43.23
17;2761;"FDP";2;15184;11.57
17;2912;"GRÜNE";2;12840;9.78
17;3276;"DIE LINKE";2;8208;6.25
17;1361;"NPD";2;1231;0.94
17;23;;2;433;0.33
17;3167;"SPD";3;37277;29.83
17;1585;"CDU";3;49779;39.83
17;1575;"FDP";3;16037;12.83
17;3274;"GRÜNE";3;10665;8.53
17;438;"DIE LINKE";3;8896;7.12
17;2411;"NPD";3;1603;1.28
17;2285;;3;715;0.57
17;2518;"SPD";4;47610;32.47
17;3288;"CDU";4;58876;40.16
17;57;"FDP";4;14317;9.77
17;1967;"GRÜNE";4;14790;10.09
17;1402;"DIE LINKE";4;8729;5.95
17;2694;"NPD";4;1344;0.92
17;3166;;4;948;0.65
17;102;"SPD";5;54398;38.3
17;2376;"CDU";5;42733;30.08
17;249;"FDP";5;12188;8.58
17;2241;"GRÜNE";5;18699;13.16
17;2062;"DIE LINKE";5;11817;8.32
17;986;"NPD";5;1392;0.98
17;3441;;5;814;0.57
17;1922;"SPD";6;41683;33.43
17;2147;"CDU";6;48136;38.61
17;3484;"FDP";6;12515;10.04
17;764;"GRÜNE";6;12187;9.77
17;1045;"DIE LINKE";6;7871;6.31
17;1880;"NPD";6;1363;1.09
17;2673;;6;924;0.74
17;2560;"SPD";7;54950;31.8
17;2820;"CDU";7;70458;40.77
17;1460;"FDP";7;17018;9.85
17;3447;"GRÜNE";7;16143;9.34
17;342;"DIE LINKE";7;11794;6.83
17;3023;"NPD";7;1912;1.11
17;1219;;7;529;0.31
17;3168;"SPD";8;54065;30.61
17;3074;"CDU";8;70290;39.8
17;564;"FDP";8;20084;11.37
17;3072;"GRÜNE";8;16633;9.42
17;177;"DIE LINKE";8;12527;7.09
17;2639;"NPD";8;1797;1.02
17;3098;;8;783;0.44
17;2674;;8;442;0.25
17;1015;"SPD";9;43765;34.23
17;807;"CDU";9;49363;38.6
17;2946;"FDP";9;14397;11.26
17;783;"GRÜNE";9;10411;8.14
17;1090;"DIE LINKE";9;8235;6.44
17;3184;"NPD";9;1270;0.99
17;1306;;9;433;0.34
17;3202;"SPD";10;53073;29.87
17;289;"CDU";10;70874;39.89
17;1037;"FDP";10;19742;11.11
17;2207;"GRÜNE";10;18761;10.56
17;204;"DIE LINKE";10;12351;6.95
17;2224;"NPD";10;2330;1.31
17;1432;"DIE VIOLETTEN";10;553;0.31
17;1183;"SPD";11;44393;36.66
