"Kandidatennummer";"Wahlkreisnummer"
1;158
5;216
6;68
8;231
9;30
10;15
13;174
15;13
17;230
18;224
19;184
21;95
22;256
23;2
24;116
25;168
27;43
30;297
32;182
34;281
35;16
39;299
40;257
42;258
43;182
46;224
50;209
51;108
52;125
53;246
55;262
56;127
57;4
63;296
65;233
66;117
67;20
68;55
69;204
74;20
75;236
77;71
79;248
80;224
81;292
82;64
83;198
84;260
85;226
86;130
87;112
90;144
93;145
94;248
97;52
98;295
100;208
102;5
103;16
108;224
109;269
112;172
113;13
114;116
115;22
120;252
121;234
125;165
126;279
129;161
130;83
133;289
134;86
135;55
136;209
138;95
139;297
142;137
143;136
147;56
152;172
153;62
154;106
155;273
157;35
158;68
159;36
160;291
161;60
162;64
163;152
164;162
166;259
169;29
170;80
172;170
173;273
175;281
177;8
178;218
179;138
181;76
182;255
183;245
184;212
186;128
187;73
188;38
189;246
191;232
194;173
195;51
196;77
197;221
200;239
201;98
204;10
205;232
207;106
208;192
209;81
210;198
212;153
216;265
217;245
218;271
220;263
221;274
223;260
225;95
227;19
230;205
231;22
232;257
233;96
234;142
235;221
237;201
238;12
239;199
240;187
241;126
242;51
244;41
245;144
246;17
247;175
248;226
249;5
250;194
251;117
252;14
253;125
255;137
257;219
258;208
259;103
260;237
261;84
262;45
263;1
264;57
265;76
266;48
269;166
270;264
271;142
272;283
273;26
276;107
277;106
279;15
280;92
281;101
282;175
283;15
286;180
287;164
288;37
289;10
290;159
291;46
292;242
294;175
297;217
298;132
300;216
301;89
302;77
305;149
306;268
307;140
308;208
309;174
310;126
311;120
312;39
315;69
316;107
317;80
318;226
321;186
322;221
324;110
326;67
329;66
330;132
331;49
336;61
337;12
338;66
339;206
340;32
342;7
344;234
345;99
348;45
349;29
350;227
351;255
353;147
356;213
357;290
358;185
359;180
361;85
362;83
364;66
366;275
367;108
368;111
371;143
372;285
373;44
377;217
378;43
379;184
380;12
381;144
382;285
384;285
385;76
386;296
387;229
388;245
391;122
395;186
396;124
397;38
400;136
405;22
407;277
410;80
411;114
412;234
414;249
415;295
416;110
417;74
421;80
422;26
423;271
425;258
426;29
429;41
430;139
431;53
432;141
433;288
434;150
435;240
438;3
442;299
444;278
445;141
446;98
449;140
450;73
451;131
453;31
454;63
456;242
457;149
459;51
460;90
464;25
466;92
469;255
470;266
472;110
473;276
477;283
479;67
480;81
482;202
485;51
486;157
489;30
491;292
492;102
493;94
494;162
495;176
496;212
497;186
498;290
503;108
504;241
505;235
507;78
508;43
509;109
511;33
512;295
513;226
514;69
517;288
518;43
521;132
522;215
524;94
525;97
526;215
529;118
531;31
532;226
533;169
534;130
536;241
537;120
538;236
540;74
541;74
542;180
546;238
548;227
549;262
552;284
553;222
554;166
555;118
556;25
557;226
559;218
561;24
562;169
563;60
564;8
565;108
566;53
569;268
570;120
571;284
575;41
576;92
577;46
578;23
579;267
580;242
581;148
583;234
585;115
586;299
590;87
592;135
593;196
596;143
600;158
601;97
602;125
605;87
609;222
610;249
612;260
613;124
614;217
615;239
616;246
617;100
620;101
624;60
628;241
629;68
630;19
631;30
632;281
634;250
635;239
636;171
637;157
639;211
640;280
641;146
642;109
643;176
644;119
646;27
649;11
650;217
652;252
655;128
656;231
657;218
658;143
660;200
661;216
662;137
663;261
664;177
665;72
666;53
668;283
669;2
670;20
671;170
673;196
674;16
675;59
676;261
677;154
678;164
679;84
680;137
681;272
682;182
683;83
684;49
685;248
687;257
690;30
691;296
692;200
693;193
694;254
695;214
696;281
698;150
699;193
701;183
702;262
706;142
707;272
711;22
713;54
716;120
717;269
718;285
720;221
721;257
722;282
723;71
724;119
725;48
727;98
728;50
729;46
730;100
732;149
733;65
734;180
738;254
741;223
742;195
744;59
745;220
746;171
747;231
748;219
749;298
752;217
753;92
754;70
756;151
757;280
758;110
759;249
763;111
764;6
766;213
767;42
768;113
769;33
770;251
771;239
772;287
774;37
776;245
777;147
778;94
780;283
781;218
782;144
783;9
784;140
785;176
788;90
790;50
791;233
792;71
793;200
794;280
797;142
798;32
800;299
805;229
806;50
807;9
811;70
813;141
814;271
815;56
816;289
817;72
819;13
823;228
829;34
830;220
831;212
832;169
833;183
834;121
835;247
836;87
837;203
839;166
842;188
843;126
844;185
845;179
846;276
847;79
848;292
850;61
852;133
854;266
857;119
860;168
865;38
871;52
872;162
874;197
876;250
877;244
880;70
881;295
882;264
883;173
885;241
886;192
888;56
890;215
891;223
892;273
893;228
895;219
896;268
898;26
899;219
900;271
901;61
902;113
904;181
905;169
906;204
908;100
909;184
910;223
911;267
913;28
914;269
915;206
918;159
924;288
927;205
928;297
929;218
935;37
937;106
938;106
941;36
942;109
944;280
945;33
946;85
947;118
948;123
949;173
950;213
951;86
952;37
953;259
957;29
958;279
960;190
961;20
963;261
965;276
966;251
969;86
970;189
971;231
972;252
973;90
976;167
978;177
979;60
984;158
986;5
987;240
988;278
989;85
991;46
992;35
993;150
996;177
998;13
999;253
1001;77
1002;63
1005;19
1006;290
1007;292
1008;75
1010;230
1012;238
1013;160
1015;9
1017;207
1021;227
1022;222
1023;54
1024;176
1027;119
1029;91
1030;115
1031;139
1034;235
1037;10
1038;277
1039;104
1040;88
1042;179
1044;104
1045;6
1046;187
1047;219
1049;206
1051;256
1054;255
1055;253
1059;222
1060;216
1061;133
1062;260
1065;244
1067;261
1068;121
1069;177
1070;230
1072;67
1073;165
1076;172
1080;120
1081;25
1082;253
1084;150
1085;170
1086;243
1087;46
1088;199
1089;25
1090;9
1091;216
1092;39
1093;70
