"Legislaturperiode";"Patei";"Wahlkreis";"Stimmen";"Stimmenprozent"
16;"SPD";1;66099;39.1
16;"CDU";1;61535;36.4
16;"FDP";1;16397;9.7
16;"GRÜNE";1;13597;8.0
16;"DIE LINKE";1;8120;4.8
16;"FAMILIE";1;2025;1.2
16;"NPD";1;1359;0.8
16;"MLPD";1;99;0.1
16;"SPD";2;51307;36.2
16;"CDU";2;59034;41.7
16;"FDP";2;14270;10.1
16;"GRÜNE";2;8854;6.2
16;"DIE LINKE";2;5475;3.9
16;"FAMILIE";2;1508;1.1
16;"NPD";2;1190;0.8
16;"MLPD";2;82;0.1
16;"SPD";3;49715;36.3
16;"CDU";3;53340;39.0
16;"FDP";3;14701;10.7
16;"GRÜNE";3;8979;6.6
16;"DIE LINKE";3;6288;4.6
16;"FAMILIE";3;2129;1.6
16;"NPD";3;1665;1.2
16;"MLPD";3;89;0.1
16;"SPD";4;59001;37.6
16;"CDU";4;59743;38.1
16;"FDP";4;15507;9.9
16;"GRÜNE";4;12613;8.0
16;"DIE LINKE";4;6522;4.2
16;"FAMILIE";4;1835;1.2
16;"NPD";4;1457;0.9
16;"MLPD";4;101;0.1
16;"SPD";5;61777;41.5
16;"CDU";5;42945;28.8
16;"FDP";5;13190;8.9
16;"GRÜNE";5;18995;12.7
16;"DIE LINKE";5;8899;6.0
16;"FAMILIE";5;1657;1.1
16;"NPD";5;1377;0.9
16;"MLPD";5;152;0.1
16;"SPD";6;53258;39.5
16;"CDU";6;48910;36.3
16;"FDP";6;12945;9.6
16;"GRÜNE";6;10345;7.7
16;"DIE LINKE";6;6009;4.5
16;"FAMILIE";6;1778;1.3
16;"NPD";6;1526;1.1
16;"MLPD";6;111;0.1
16;"SPD";7;68570;37.4
16;"CDU";7;67534;36.8
16;"FDP";7;18796;10.3
16;"GRÜNE";7;16610;9.1
16;"DIE LINKE";7;8043;4.4
16;"FAMILIE";7;1906;1.0
16;"NPD";7;1770;1.0
16;"MLPD";7;93;0.1
16;"SPD";8;68214;36.6
16;"CDU";8;68553;36.8
16;"FDP";8;21167;11.3
16;"GRÜNE";8;16110;8.6
16;"DIE LINKE";8;8166;4.4
16;"FAMILIE";8;2517;1.3
16;"NPD";8;1707;0.9
16;"MLPD";8;91;0.0
16;"SPD";9;53947;38.8
16;"CDU";9;52564;37.8
16;"FDP";9;14442;10.4
16;"GRÜNE";9;9353;6.7
