Wahlbezirksnummer;Name;Wahlkreisnummer
1;Flensburg – Schleswig;1
2;Nordfriesland – Dithmarschen Nord;2
3;Steinburg – Dithmarschen Süd;3
4;Rendsburg-Eckernförde;4
5;Kiel;5
6;Plön – Neumünster;6
7;Pinneberg;7
8;Segeberg – Stormarn-Nord;8
9;Ostholstein;9
10;Herzogtum Lauenburg – Stormarn-Süd;10
11;Lübeck;11
12;Wismar – Nordwestmecklenburg – Parchim;12
13;Schwerin – Ludwigslust;13
14;Rostock;14
15;Stralsund – Nordvorpommern – Rügen;15
16;Greifswald – Demmin – Ostvorpommern;16
17;Bad Doberan – Güstrow – Müritz;17
18;Neubrandenburg – Mecklenburg-Strelitz – Uecker-Randow;18
19;Hamburg-Mitte;19
20;Hamburg-Altona;20
21;Hamburg-Eimsbüttel;21
22;Hamburg-Nord;22
23;Hamburg-Wandsbek;23
24;Hamburg-Bergedorf – Harburg;24
25;Aurich – Emden;25
26;Unterems;26
27;Friesland – Wilhelmshaven;27
28;Oldenburg – Ammerland;28
29;Delmenhorst – Wesermarsch – Oldenburg-Land;29
30;Cuxhaven – Stade II;30
31;Stade I – Rotenburg II;31
32;Mittelems;32
33;Cloppenburg – Vechta;33
34;Diepholz – Nienburg I;34
35;Osterholz – Verden;35
36;Rotenburg I – Soltau-Fallingbostel;36
37;Harburg;37
38;Lüchow-Dannenberg – Lüneburg;38
39;Osnabrück-Land;39
40;Stadt Osnabrück;40
41;Nienburg II – Schaumburg;41
42;Stadt Hannover I;42
43;Stadt Hannover II;43
44;Hannover-Land I;44
45;Celle – Uelzen;45
46;Gifhorn – Peine;46
47;Hameln-Pyrmont – Holzminden;47
48;Hannover-Land II;48
49;Hildesheim;49
50;Salzgitter – Wolfenbüttel;50
51;Braunschweig;51
52;Helmstedt – Wolfsburg;52
53;Goslar – Northeim – Osterode;53
54;Göttingen;54
55;Bremen I;55
56;Bremen II – Bremerhaven;56
57;Prignitz – Ostprignitz-Ruppin – Havelland I;57
58;Uckermark – Barnim I;58
59;Oberhavel – Havelland II;59
60;Märkisch-Oderland – Barnim II;60
61;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;61
62;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;62
63;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;63
64;Frankfurt (Oder) – Oder-Spree;64
65;Cottbus – Spree-Neiße;65
66;Elbe-Elster – Oberspreewald-Lausitz II;66
67;Altmark;67
68;Börde – Jerichower Land;68
69;Harz;69
70;Magdeburg;70
71;Dessau – Wittenberg;71
72;Anhalt;72
73;Halle;73
74;Burgenland – Saalekreis;74
75;Mansfeld;75
76;Berlin-Mitte;76
77;Berlin-Pankow;77
78;Berlin-Reinickendorf;78
79;Berlin-Spandau – Charlottenburg Nord;79
80;Berlin-Steglitz – Zehlendorf;80
81;Berlin-Charlottenburg – Wilmersdorf;81
82;Berlin-Tempelhof – Schöneberg;82
83;Berlin-Neukölln;83
84;Berlin-Friedrichshain – Kreuzberg – Prenzlauer Berg Ost;84
85;Berlin-Treptow – Köpenick;85
86;Berlin-Marzahn – Hellersdorf;86
87;Berlin-Lichtenberg;87
88;Aachen;88
89;Kreis Aachen;89
90;Heinsberg;90
91;Düren;91
92;Erftkreis I;92
93;Euskirchen – Erftkreis II;93
94;Köln I;94
95;Köln II;95
96;Köln III;96
97;Bonn;97
98;Rhein-Sieg-Kreis I;98
99;Rhein-Sieg-Kreis II;99
100;Oberbergischer Kreis;100
101;Rheinisch-Bergischer Kreis;101
102;Leverkusen – Köln IV;102
103;Wuppertal I;103
104;Solingen – Remscheid – Wuppertal II;104
105;Mettmann I;105
106;Mettmann II;106
107;Düsseldorf I;107
108;Düsseldorf II;108
109;Neuss I;109
110;Mönchengladbach;110
111;Krefeld I – Neuss II;111
112;Viersen;112
113;Kleve;113
114;Wesel I;114
115;Krefeld II – Wesel II;115
116;Duisburg I;116
117;Duisburg II;117
118;Oberhausen – Wesel III;118
119;Mülheim – Essen I;119
120;Essen II;120
121;Essen III;121
122;Recklinghausen I;122
123;Recklinghausen II;123
124;Gelsenkirchen;124
125;Steinfurt I – Borken I;125
126;Bottrop – Recklinghausen III;126
127;Borken II;127
128;Coesfeld – Steinfurt II;128
129;Steinfurt III;129
130;Münster;130
131;Warendorf;131
132;Gütersloh;132
133;Bielefeld;133
134;Herford – Minden-Lübbecke II;134
135;Minden-Lübbecke I;135
136;Lippe I;136
137;Höxter – Lippe II;137
138;Paderborn;138
139;Hagen – Ennepe-Ruhr-Kreis I;139
140;Ennepe-Ruhr-Kreis II;140
141;Bochum I;141
142;Herne – Bochum II;142
143;Dortmund I;143
144;Dortmund II;144
145;Unna I;145
146;Hamm – Unna II;146
147;Soest;147
148;Hochsauerlandkreis;148
149;Siegen-Wittgenstein;149
150;Olpe – Märkischer Kreis I;150
151;Märkischer Kreis II;151
152;Nordsachsen;152
153;Leipzig I;153
154;Leipzig II;154
155;Leipzig-Land;155
156;Meißen;156
157;Bautzen I;157
158;Görlitz;158
159;Sächsische Schweiz – Osterzgebirge;159
160;Dresden I;160
161;Dresden II – Bautzen II;161
162;Mittelsachsen;162
163;Chemnitz;163
164;Chemnitzer Umland – Erzgebirgskreis II;164
165;Erzgebirgskreis I;165
166;Zwickau;166
167;Vogtlandkreis;167
168;Waldeck;168
169;Kassel;169
170;Werra-Meißner – Hersfeld-Rotenburg;170
171;Schwalm-Eder;171
172;Marburg;172
173;Lahn-Dill;173
174;Gießen;174
175;Fulda;175
176;Hochtaunus;176
177;Wetterau;177
178;Rheingau-Taunus – Limburg;178
179;Wiesbaden;179
180;Hanau;180
181;Main-Taunus;181
182;Frankfurt am Main I;182
183;Frankfurt am Main II;183
184;Groß-Gerau;184
185;Offenbach;185
186;Darmstadt;186
187;Odenwald;187
188;Bergstraße;188
