Wahlkreisnummer;Name;Wahlberechtigte;Bundesland
1;Flensburg - Schleswig;225.216;Schleswig-Holstein
;;;
88;Aachen;;Nordrhein-Westfalen
89;Kreis Aachen;;Nordrhein-Westfalen
90;Heinsberg;;Nordrhein-Westfalen
91;Düren;;Nordrhein-Westfalen
92;Erftkreis I;;Nordrhein-Westfalen
93;Euskirchen - Erftkreis II;;Nordrhein-Westfalen
94;Köln I;;Nordrhein-Westfalen
95;Köln II;;Nordrhein-Westfalen
96;Köln III;;Nordrhein-Westfalen
97;Bonn;;Nordrhein-Westfalen
98;Rhein-Sieg-Kreis I;;Nordrhein-Westfalen
99;Rhein-Sieg-Kreis II;;Nordrhein-Westfalen
100;Oberbergischer Kreis;;Nordrhein-Westfalen
101;Rheinisch-Bergischer Kreis;;Nordrhein-Westfalen
102;Leverkusen - Köln IV;;Nordrhein-Westfalen
103;Wuppertal I;;Nordrhein-Westfalen
104;Solingen - Remscheid - Wuppertal II;;Nordrhein-Westfalen
105;Mettmann I;;Nordrhein-Westfalen
106;Mettmann II;;Nordrhein-Westfalen
107;Düsseldorf I;;Nordrhein-Westfalen
108;Düsseldorf II;;Nordrhein-Westfalen
109;Neuss I;;Nordrhein-Westfalen
110;Mönchengladbach;;Nordrhein-Westfalen
111;Krefeld I - Neuss II;;Nordrhein-Westfalen
112;Viersen;;Nordrhein-Westfalen
113;Kleve;;Nordrhein-Westfalen
114;Wesel I;;Nordrhein-Westfalen
115;Krefeld II - Wesel II;;Nordrhein-Westfalen
116;Duisburg I;;Nordrhein-Westfalen
117;Duisburg II;;Nordrhein-Westfalen
118;Oberhausen - Wesel III;;Nordrhein-Westfalen
119;Mülheim - Essen I;;Nordrhein-Westfalen
120;Essen II;;Nordrhein-Westfalen
121;Essen III;;Nordrhein-Westfalen
122;Recklinghausen I;;Nordrhein-Westfalen
123;Recklinghausen II;;Nordrhein-Westfalen
124;Gelsenkirchen;;Nordrhein-Westfalen
125;Steinfurt I - Borken I;;Nordrhein-Westfalen
126;Bottrop - Recklinghausen III;;Nordrhein-Westfalen
127;Borken II;;Nordrhein-Westfalen
128;Coesfeld - Steinfurt II;;Nordrhein-Westfalen
129;Steinfurt III;;Nordrhein-Westfalen
130;Münster;;Nordrhein-Westfalen
131;Warendorf;;Nordrhein-Westfalen
132;Gütersloh;;Nordrhein-Westfalen
133;Bielefeld;;Nordrhein-Westfalen
134;Herford - Minden-Lübbecke II;;Nordrhein-Westfalen
135;Minden-Lübbecke I;;Nordrhein-Westfalen
136;Lippe I;;Nordrhein-Westfalen
137;Höxter - Lippe II;;Nordrhein-Westfalen
138;Paderborn;;Nordrhein-Westfalen
139;Hagen - Ennepe-Ruhr-Kreis I;;Nordrhein-Westfalen
140;Ennepe-Ruhr-Kreis II;;Nordrhein-Westfalen
141;Bochum I;;Nordrhein-Westfalen
142;Herne - Bochum II;;Nordrhein-Westfalen
143;Dortmund I;;Nordrhein-Westfalen
144;Dortmund II;;Nordrhein-Westfalen
145;Unna I;;Nordrhein-Westfalen
146;Hamm - Unna II;;Nordrhein-Westfalen
147;Soest;;Nordrhein-Westfalen
148;Hochsauerlandkreis;;Nordrhein-Westfalen
149;Siegen-Wittgenstein;;Nordrhein-Westfalen
150;Olpe - Märkischer Kreis I;;Nordrhein-Westfalen
151;Märkischer Kreis II;;Nordrhein-Westfalen
152;Nordsachsen;;Sachsen
153;Leipzig I;;Sachsen
154;Leipzig II;;Sachsen
155;Leipzig-Land;;Sachsen
156;Meißen;;Sachsen
157;Bautzen I;;Sachsen
158;Görlitz;;Sachsen
